model_id;model;make_id;make
8;Aston Martin;18469;AR1
8;Aston Martin;1615;DB7
8;Aston Martin;1616;Lagonda
8;Aston Martin;1617;Virage
8;Aston Martin;15119;V8
8;Aston Martin;15120;Vantage
8;Aston Martin;15540;Volante
8;Aston Martin;18517;DB9
8;Aston Martin;19068;DBS
8;Aston Martin;19531;Rapide
8;Aston Martin;19735;Cygnet
8;Aston Martin;74785;Valkyrie
8;Aston Martin;21000;Others
8;Aston Martin;74438;DB11
15643;Austin;16383;MK
15643;Austin;16453;Montego
15643;Austin;15806;Maestro
15643;Austin;15807;Metro
15643;Austin;18618;Estate
15643;Austin;20773;Mini
15643;Austin;20774;Mini Moke
15643;Austin;20132;Healey
15643;Austin;21042;Others
15644;Autobianchi;15798;Y10
15644;Autobianchi;15799;A 112
15644;Autobianchi;15831;A 1000
15644;Autobianchi;21043;Others
16437;Auverland;74263;A3
16437;Auverland;74264;A4
16437;Auverland;74265;Others
51774;Baic;74485;Senova X25
51774;Baic;74486;Senova X55
51774;Baic;74487;Senova X65
51774;Baic;74488;B40
51774;Baic;74495;Others
51774;Baic;74684;Senova X35
51774;Baic;74685;D20
51774;Baic;74686;BJ20
51774;Baic;75200;BJ40
16400;Bedford;20721;CF2
16400;Bedford;20722;Rascal
16400;Bedford;20723;HA
16400;Bedford;20724;CA
16400;Bedford;20726;Blitz
16400;Bedford;20727;Dormobile
16400;Bedford;20728;Chevanne
16400;Bedford;20729;KB
16400;Bedford;20730;Midi
16400;Bedford;20731;Astravan
16400;Bedford;20732;Astramax
16400;Bedford;20733;Beagle
16400;Bedford;20734;TJ
16400;Bedford;20735;Brava
16400;Bedford;20736;MW
16400;Bedford;20737;Other
16416;Bellier;21101;B8
16416;Bellier;21102;Docker
16416;Bellier;21103;Other
16416;Bellier;21111;Divane
16416;Bellier;21112;Jade
16416;Bellier;21113;Opale
16416;Bellier;21114;Sturdy
16416;Bellier;21115;VX
16416;Bellier;21158;Asso
11;Bentley;15954;Eight
11;Bentley;18402;Mulsanne
11;Bentley;15125;Brooklands
11;Bentley;15126;Turbo RT
11;Bentley;15127;Continental
11;Bentley;15128;Azure
11;Bentley;15683;Turbo R
11;Bentley;15684;Turbo S
11;Bentley;15685;Arnage
11;Bentley;20362;Flying Spur
11;Bentley;21002;Others
11;Bentley;74740;S1
11;Bentley;74741;S2
11;Bentley;74742;S3
11;Bentley;21181;Bentayga
16418;Bolloré;21118;Bluecar
16418;Bolloré;21119;Others
16418;Bolloré;21197;Bluesummer
16418;Bolloré;21220;Blueutility
16424;Borgward;21143;BX7
16424;Borgward;21144;Hansa 400/500
16424;Borgward;21145;Hansa 1100
16424;Borgward;21146;Hansa 1700
16424;Borgward;21147;Hansa 3500
16424;Borgward;21148;Hansa 2000
16424;Borgward;21149;Hansa 2300
16424;Borgward;75048;BX5
16424;Borgward;21150;Hansa 1500
16424;Borgward;21151;Hansa 1800
16424;Borgward;21152;Hansa 2400
16424;Borgward;21153;Isabella
16424;Borgward;21154;Arabella
16424;Borgward;21155;P100
16424;Borgward;21156;Others
16367;Brilliance;18699;Jinbei
16367;Brilliance;18700;Granse
16367;Brilliance;18701;Zunchi
16367;Brilliance;18702;Zhonghua
16367;Brilliance;19080;BS2
16367;Brilliance;19081;BS6
16367;Brilliance;19186;BS4
16367;Brilliance;19135;BC3
16367;Brilliance;21057;Others
15;Bugatti;15677;EB 110
15;Bugatti;18843;Veyron
15;Bugatti;20775;EB 112
15;Bugatti;21003;Others
15;Bugatti;74381;Chiron
16;Buick;1668;Century
16;Buick;1669;Electra
16;Buick;1670;Park Avenue
16;Buick;1671;Regal
16;Buick;1672;Riviera
16;Buick;1673;Skylark
16;Buick;15771;Roadmaster
16;Buick;18523;Le Sabre
16;Buick;19058;Enclave
16;Buick;20151;Special
16;Buick;21004;Others
16;Buick;74676;La Crosse
16;Buick;74677;Verano
16;Buick;74678;Encore
16;Buick;74679;Envision
16;Buick;74680;Cascada
16379;BYD;19130;F1
16379;BYD;19131;F3
16379;BYD;19132;F3R
16379;BYD;19133;F6
16379;BYD;19134;F8
16379;BYD;20776;e6
16379;BYD;21060;Others
17;Cadillac;16399;Escalade
17;Cadillac;18405;CTS
17;Cadillac;1674;Allante
17;Cadillac;1675;Deville
17;Cadillac;1676;Eldorado
17;Cadillac;1677;Fleetwood
17;Cadillac;1678;Seville
17;Cadillac;15853;STS
17;Cadillac;18543;XLR
17;Cadillac;18602;BLS
17;Cadillac;18495;SRX
17;Cadillac;20370;Series 62
17;Cadillac;20371;Series 6200
17;Cadillac;20372;LaSalle
17;Cadillac;20226;ATS
17;Cadillac;20373;Brougham
17;Cadillac;75098;XTS
17;Cadillac;75099;XT4
17;Cadillac;21005;Others
17;Cadillac;74323;CT6
17;Cadillac;74357;XT5
17;Cadillac;74425;DTS
15672;Caravans-Wohnm;15986;Adria
15672;Caravans-Wohnm;16255;Alpha
15672;Caravans-Wohnm;16256;Arca
15672;Caravans-Wohnm;16257;Autoroller
15672;Caravans-Wohnm;16258;Bimobil
15672;Caravans-Wohnm;16259;Bürstner
15672;Caravans-Wohnm;16260;Burow
15672;Caravans-Wohnm;16261;Ca-Mo-Car
15672;Caravans-Wohnm;16262;Caro
15672;Caravans-Wohnm;16263;Carthago
15672;Caravans-Wohnm;16264;Chausson
15672;Caravans-Wohnm;16265;Chrysler
15672;Caravans-Wohnm;16266;Ci International
15672;Caravans-Wohnm;16267;Coachmen
15672;Caravans-Wohnm;16268;Concorde
15672;Caravans-Wohnm;16269;Cristall
15672;Caravans-Wohnm;16270;Cs Reisemobile
15672;Caravans-Wohnm;16271;Damon
15672;Caravans-Wohnm;16272;Dethleffs
15672;Caravans-Wohnm;16273;Elnagh
15672;Caravans-Wohnm;16274;Eriba
15672;Caravans-Wohnm;16275;Euramobil
15672;Caravans-Wohnm;16276;Euro Liner
15672;Caravans-Wohnm;16277;Fendt
15672;Caravans-Wohnm;16278;Ffb / Tabbert
15672;Caravans-Wohnm;16279;Fiat
15672;Caravans-Wohnm;16281;Fleetwood
15672;Caravans-Wohnm;16282;Ford
15672;Caravans-Wohnm;16283;Ford / Reimo
15672;Caravans-Wohnm;16284;Frankia
15672;Caravans-Wohnm;16285;General Motors
15672;Caravans-Wohnm;16286;Granduca
15672;Caravans-Wohnm;16287;Hehn
15672;Caravans-Wohnm;16288;Heku
15672;Caravans-Wohnm;16289;Hobby
15672;Caravans-Wohnm;16290;Holiday Rambler
15672;Caravans-Wohnm;16291;Hymer
15672;Caravans-Wohnm;16292;Karmann
15672;Caravans-Wohnm;16293;Knaus
15672;Caravans-Wohnm;16294;Laika
15672;Caravans-Wohnm;16295;La Strada
15672;Caravans-Wohnm;16296;LMC
15672;Caravans-Wohnm;16297;M+M Mobile
15672;Caravans-Wohnm;16298;Ma-Bu
15672;Caravans-Wohnm;16299;Mazda
15672;Caravans-Wohnm;16300;Mercedes-Benz
15672;Caravans-Wohnm;16301;Mirage
15672;Caravans-Wohnm;16302;Mitsubishi
15672;Caravans-Wohnm;16303;Mobilvetta
