model;make;country;start_date;run_time;cars;images;errors;;;;;
Ford;Capri;NE;2019-02-12 04:43:56.978778;78.12089800834656;9;75;0;;;;;
Ford;Escort;AT;2019-02-12 04:45:15.102669;281.16345262527466;29;265;0;;;;;
Ford;Escort;BE;2019-02-12 04:49:56.267119;373.52622389793396;36;349;0;;;;;
Ford;Escort;DE;2019-02-12 04:56:09.794341;1527.1338937282562;162;1462;0;;;;;
Ford;Escort;ES;2019-02-12 05:21:36.929304;436.6753680706024;48;422;0;;;;;
Ford;Escort;FR;2019-02-12 05:28:53.605669;112.17679047584534;17;103;0;;;;;
Ford;Escort;IT;2019-02-12 05:30:45.783458;559.0548808574677;61;513;0;;;;;
Ford;Escort;LU;2019-02-12 05:40:04.839336;21.135141134262085;3;16;0;;;;;
Ford;Escort;NE;2019-02-12 05:40:25.975475;533.6750802993774;48;514;0;;;;;
Ford;Fiesta;AT;2019-02-12 05:49:19.653548;97.23881506919861;10;92;0;;;;;
Ford;Fiesta;BE;2019-02-12 05:50:56.893362;2280.21311211586;200;2170;1;;;;;
Ford;Fiesta;DE;2019-02-12 06:28:57.107472;1436.9991383552551;130;1454;0;;;;;
Ford;Fiesta;ES;2019-02-12 06:52:54.107608;2532.1122436523438;200;2459;0;;;;;
Ford;Fiesta;FR;2019-02-12 07:35:06.220849;1768.495136976242;200;1737;0;;;;;
Ford;Fiesta;IT;2019-02-12 08:04:34.715986;2266.15518283844;200;2232;0;;;;;
Ford;Fiesta;LU;2019-02-12 08:42:20.872169;299.4406478404999;42;275;0;;;;;
Ford;Fiesta;NE;2019-02-12 08:47:20.314815;2374.7230615615845;200;2415;0;;;;;
Ford;Galaxy;AT;2019-02-12 09:26:55.039870;2121.2378029823303;200;2072;0;;;;;
Ford;Galaxy;BE;2019-02-12 10:02:16.277673;1916.34570145607;191;1823;0;;;;;
Ford;Galaxy;DE;2019-02-12 10:34:12.624371;2344.6268661022186;200;2380;0;;;;;
Ford;Galaxy;ES;2019-02-12 11:13:17.252249;1439.3763217926025;113;1410;0;;;;;
Ford;Galaxy;FR;2019-02-12 11:37:16.629568;635.6807312965393;67;597;0;;;;;
Ford;Galaxy;IT;2019-02-12 11:47:52.312294;2265.862550497055;200;2223;0;;;;;
Ford;Galaxy;LU;2019-02-12 12:25:38.175842;33.84537220001221;5;24;0;;;;;
Ford;Galaxy;NE;2019-02-12 12:26:12.023209;2186.4124233722687;164;2217;0;;;;;
Ford;Granada;AT;2019-02-12 13:02:38.437627;69.34809756278992;5;58;0;;;;;
Ford;Granada;BE;2019-02-12 13:03:47.786722;77.34280824661255;6;70;0;;;;;
Ford;Granada;DE;2019-02-12 13:05:05.130528;73.24544262886047;6;75;0;;;;;
Ford;Granada;ES;2019-02-12 13:06:18.377967;34.80406856536865;3;32;0;;;;;
Ford;Granada;FR;2019-02-12 13:06:53.184040;1.8520317077636719;0;0;0;;;;;
Ford;Granada;IT;2019-02-12 13:06:55.038067;44.875338315963745;7;41;0;;;;;
Ford;Granada;LU;2019-02-12 13:07:39.914403;1.8141417503356934;0;0;0;;;;;
Ford;Granada;NE;2019-02-12 13:07:41.729543;37.47213888168335;3;34;0;;;;;
Ford;Ka/Ka+;AT;2019-02-12 13:08:19.204642;1.5827617645263672;0;0;0;;;;;
Ford;Ka/Ka+;BE;2019-02-12 13:08:20.789398;1.986811637878418;0;0;0;;;;;
Ford;Ka/Ka+;DE;2019-02-12 13:08:22.778205;1.8788635730743408;0;0;0;;;;;
Ford;Ka/Ka+;ES;2019-02-12 13:08:24.659064;1.7235429286956787;0;0;0;;;;;
Ford;Ka/Ka+;FR;2019-02-12 13:08:26.384602;1.5564236640930176;0;0;0;;;;;
Ford;Ka/Ka+;IT;2019-02-12 13:08:27.943021;1.4201977252960205;0;0;0;;;;;
Ford;Ka/Ka+;LU;2019-02-12 13:08:29.365213;1.3214621543884277;0;0;0;;;;;
Ford;Ka/Ka+;NE;2019-02-12 13:08:30.688670;1.8989150524139404;0;0;0;;;;;
Ford;Maverick;AT;2019-02-12 13:08:32.589580;2.573110580444336;1;0;0;;;;;
Ford;Maverick;BE;2019-02-12 13:08:35.164686;8.598977088928223;1;5;0;;;;;
Ford;Maverick;DE;2019-02-12 13:08:43.765657;405.79476380348206;37;397;0;;;;;
Ford;Maverick;ES;2019-02-12 13:15:29.562415;29.123026371002197;3;27;0;;;;;
Ford;Maverick;FR;2019-02-12 13:15:58.687437;13.983443975448608;2;8;0;;;;;
Ford;Maverick;IT;2019-02-12 13:16:12.672876;28.387290954589844;2;21;0;;;;;
Ford;Maverick;LU;2019-02-12 13:16:41.061164;2.166243314743042;0;0;0;;;;;
Ford;Maverick;NE;2019-02-12 13:16:43.229402;41.124573707580566;3;42;0;;;;;
Ford;Mondeo;AT;2019-02-12 13:17:24.355971;2465.3162126541138;200;2410;0;;;;;
Ford;Mondeo;BE;2019-02-12 13:58:29.673181;2199.4943408966064;200;2098;0;;;;;
Ford;Mondeo;DE;2019-02-12 14:35:09.168519;2471.4818427562714;200;2492;0;;;;;
Ford;Mondeo;ES;2019-02-12 15:16:20.651359;2839.1408672332764;200;2780;0;;;;;
Ford;Mondeo;FR;2019-02-12 16:03:39.793162;1742.2648477554321;185;1677;0;;;;;
Ford;Mondeo;IT;2019-02-12 16:32:42.058997;2292.094910144806;200;2246;0;;;;;
Ford;Mondeo;LU;2019-02-12 17:10:54.154899;63.119633197784424;7;55;0;;;;;
Ford;Mondeo;NE;2019-02-12 17:11:57.275501;2767.9782996177673;200;2794;0;;;;;
Ford;Orion;AT;2019-02-12 17:58:05.253801;20.07550573348999;3;17;0;;;;;
Ford;Orion;BE;2019-02-12 17:58:25.329994;10.80746078491211;1;7;0;;;;;
Ford;Orion;DE;2019-02-12 17:58:36.138458;58.83342409133911;4;51;0;;;;;
Ford;Orion;ES;2019-02-12 17:59:34.971882;52.1801323890686;6;48;0;;;;;
Ford;Orion;FR;2019-02-12 18:00:27.152014;2.278280258178711;0;0;0;;;;;
Ford;Orion;IT;2019-02-12 18:00:29.430295;1.6181488037109375;0;0;0;;;;;
Ford;Orion;LU;2019-02-12 18:00:31.048443;2.048992156982422;0;0;0;;;;;
Ford;Orion;NE;2019-02-12 18:00:33.097435;2.185441255569458;0;0;0;;;;;
Ford;Scorpio;AT;2019-02-12 18:00:35.282877;13.410164594650269;2;10;0;;;;;
Ford;Scorpio;BE;2019-02-12 18:00:48.693041;1.8948121070861816;0;0;0;;;;;
Ford;Scorpio;DE;2019-02-12 18:00:50.588860;268.76784110069275;30;263;0;;;;;
Ford;Scorpio;ES;2019-02-12 18:05:19.356701;29.268927097320557;3;24;0;;;;;
Ford;Scorpio;FR;2019-02-12 18:05:48.625628;2.4970293045043945;0;0;0;;;;;
Ford;Scorpio;IT;2019-02-12 18:05:51.124622;12.235845804214478;2;8;0;;;;;
Ford;Scorpio;LU;2019-02-12 18:06:03.360468;1.8679800033569336;0;0;0;;;;;
Ford;Scorpio;NE;2019-02-12 18:06:05.229415;16.64988112449646;3;11;0;;;;;
Ford;Sierra;AT;2019-02-12 18:06:21.880293;53.284337282180786;6;45;0;;;;;
Ford;Sierra;BE;2019-02-12 18:07:15.164630;158.3897156715393;14;150;0;;;;;
Ford;Sierra;DE;2019-02-12 18:09:53.554346;416.6561505794525;39;398;0;;;;;
Ford;Sierra;ES;2019-02-12 18:16:50.212460;125.09954953193665;13;117;0;;;;;
Ford;Sierra;FR;2019-02-12 18:18:55.313468;76.13644409179688;7;66;0;;;;;
Ford;Sierra;IT;2019-02-12 18:20:11.449912;611.3193354606628;54;582;0;;;;;
Ford;Sierra;LU;2019-02-12 18:30:22.770257;2.24808669090271;0;0;0;;;;;
Ford;Sierra;NE;2019-02-12 18:30:25.018343;175.81660318374634;14;168;0;;;;;
Ford;Aerostar;AT;2019-02-12 18:33:20.835944;1.5745189189910889;0;0;0;;;;;
Ford;Aerostar;BE;2019-02-12 18:33:22.410463;2.3583312034606934;0;0;0;;;;;
Ford;Aerostar;DE;2019-02-12 18:33:24.768794;2.4791929721832275;0;0;0;;;;;
Ford;Aerostar;ES;2019-02-12 18:33:27.247987;1.8274540901184082;0;0;0;;;;;
Ford;Aerostar;FR;2019-02-12 18:33:29.075441;2.4038097858428955;0;0;0;;;;;
Ford;Aerostar;IT;2019-02-12 18:33:31.479251;28.19072651863098;2;24;0;;;;;
Ford;Aerostar;LU;2019-02-12 18:33:59.669977;1.8498659133911133;0;0;0;;;;;
Ford;Aerostar;NE;2019-02-12 18:34:01.522160;1.8309600353240967;0;0;0;;;;;
Ford;Bronco;AT;2019-02-12 18:34:03.353119;2.1093478202819824;0;0;0;;;;;
Ford;Bronco;BE;2019-02-12 18:34:05.464618;23.750290155410767;2;21;0;;;;;
Ford;Bronco;DE;2019-02-12 18:34:29.214909;130.3826253414154;11;131;0;;;;;
Ford;Bronco;ES;2019-02-12 18:36:39.599498;78.87990307807922;6;76;0;;;;;
Ford;Bronco;FR;2019-02-12 18:37:58.479401;54.06031250953674;5;45;0;;;;;
Ford;Bronco;IT;2019-02-12 18:38:52.541707;43.77906250953674;5;38;0;;;;;
Ford;Bronco;LU;2019-02-12 18:39:36.320769;1.6016247272491455;0;0;0;;;;;
Ford;Bronco;NE;2019-02-12 18:39:37.922394;73.54721760749817;5;71;0;;;;;
Ford;Explorer;AT;2019-02-12 18:40:51.473784;2.2426693439483643;0;0;0;;;;;
Ford;Explorer;BE;2019-02-12 18:40:53.716453;80.33613300323486;7;72;0;;;;;
Ford;Explorer;DE;2019-02-12 18:42:14.052984;604.3813474178314;51;573;0;;;Sorc�mk�k;�sszeg / 0;Mennyis�g / 2.053377628326416
Ford;Explorer;ES;2019-02-12 18:52:18.434331;115.59626817703247;8;111;0;;;Aerostar;2;8
Ford;Explorer;FR;2019-02-12 18:54:14.030600;34.86823296546936;4;31;0;;;B-Max;1065;8
Ford;Explorer;IT;2019-02-12 18:54:48.898832;48.63062357902527;6;45;0;;;Bronco;34;8
Ford;Explorer;LU;2019-02-12 18:55:37.531517;1.7422192096710205;0;0;0;;;Capri;62;8
Ford;Explorer;NE;2019-02-12 18:55:39.275232;337.44324254989624;23;329;0;;;C-Max;974;8
Ford;Probe;AT;2019-02-12 19:01:16.719625;19.667452335357666;2;15;0;;;Connect Elekto;15;8
Ford;Probe;BE;2019-02-12 19:01:36.387077;13.528090000152588;1;10;0;;;Consul;1;8
Ford;Probe;DE;2019-02-12 19:01:49.915167;224.42973041534424;24;212;0;;;Cougar;39;8
Ford;Probe;ES;2019-02-12 19:05:34.345420;50.29432773590088;6;46;0;;;Courier;77;8
Ford;Probe;FR;2019-02-12 19:06:24.642733;24.545871257781982;2;21;0;;;Crown;19;8
Ford;Probe;IT;2019-02-12 19:06:49.188605;20.114607095718384;1;15;0;;;Econoline;29;8
Ford;Probe;LU;2019-02-12 19:07:09.304179;1.6208136081695557;0;0;0;;;Econovan;2;8
Ford;Probe;NE;2019-02-12 19:07:10.924993;24.718656301498413;3;22;0;;;EcoSport;1308;8
Ford;Taurus;AT;2019-02-12 19:07:35.644647;2.678837299346924;0;0;0;;;Edge;659;8
Ford;Taurus;BE;2019-02-12 19:07:38.323484;1.9258296489715576;0;0;0;;;Escape;6;8
Ford;Taurus;DE;2019-02-12 19:07:40.249313;2.4404797554016113;0;0;0;;;Escort;404;8
Ford;Taurus;ES;2019-02-12 19:07:42.689793;1.897411823272705;0;0;0;;;Excursion;3;8
Ford;Taurus;FR;2019-02-12 19:07:44.588175;1.895540714263916;0;0;0;;;Expedition;20;8
Ford;Taurus;IT;2019-02-12 19:07:46.483716;1.9516100883483887;0;0;0;;;Explorer;99;8
Ford;Taurus;LU;2019-02-12 19:07:48.435326;1.7162253856658936;0;0;0;;;Express;2;7
Ford;Taurus;NE;2019-02-12 19:07:50.153588;1.956512451171875;0;0;0;;;F 1;13;8
Ford;Windstar;AT;2019-02-12 19:07:52.110100;10.63991928100586;1;6;0;;;F 100;81;8
Ford;Windstar;BE;2019-02-12 19:08:02.752275;10.897464752197266;1;8;0;;;F 150;531;8
Ford;Windstar;DE;2019-02-12 19:08:13.649740;100.00678253173828;11;95;0;;;F 250;76;8
Ford;Windstar;ES;2019-02-12 19:09:53.656523;22.456529140472412;2;17;0;;;F 350;29;8
Ford;Windstar;FR;2019-02-12 19:10:16.113052;2.5579614639282227;0;0;0;;;F 360;0;8
Ford;Windstar;IT;2019-02-12 19:10:18.671013;1.9944469928741455;0;0;0;;;F 450;4;8
Ford;Windstar;LU;2019-02-12 19:10:20.666437;2.307011365890503;0;0;0;;;F 550;1;8
Ford;Windstar;NE;2019-02-12 19:10:22.973448;8.490930557250977;1;4;0;;;F 650;0;8
Ford;Tourneo;AT;2019-02-12 19:10:31.465377;167.8938958644867;14;164;0;;;F Super Duty;2;8
Ford;Tourneo;BE;2019-02-12 19:13:19.361412;102.49299955368042;7;98;0;;;Fairlane;26;8
Ford;Tourneo;DE;2019-02-12 19:15:01.856472;2185.151718378067;200;2194;0;;;Falcon;6;8
Ford;Tourneo;ES;2019-02-12 19:51:27.009212;38.85494589805603;3;35;0;;;Fiesta;1182;8
Ford;Tourneo;FR;2019-02-12 19:52:05.865078;181.8107693195343;15;169;0;;;Flex;13;8
Ford;Tourneo;IT;2019-02-12 19:55:07.677815;461.3467755317688;39;443;0;;;Focus;880;8
Ford;Tourneo;LU;2019-02-12 20:02:49.026555;2.4614927768707275;0;0;0;;;Focus CC;77;8
Ford;Tourneo;NE;2019-02-12 20:02:51.489014;311.94474267959595;23;313;0;;;Focus C-Max;811;8
Ford;Mustang;AT;2019-02-12 20:08:03.444968;1806.6950435638428;146;1675;0;;;Freestar;0;8
Ford;Mustang;BE;2019-02-12 20:38:10.140913;2280.7726559638977;200;2165;0;;;Freestyle;1;8
Ford;Mustang;DE;2019-02-12 21:16:10.914568;2711.6074652671814;200;2656;0;;;Fusion;639;8
Ford;Mustang;ES;2019-02-12 22:01:22.522033;2368.4407439231873;198;2298;0;;;Galaxy;1140;8
Ford;Mustang;FR;2019-02-12 22:40:50.963769;2259.3869252204895;200;2218;0;;;Gran Torino;12;8
Ford;Mustang;IT;2019-02-12 23:18:30.351719;2411.2795588970184;200;2333;0;;;Granada;30;8
Ford;Mustang;LU;2019-02-12 23:58:41.634270;134.49065709114075;17;119;0;;;Grand C-Max;649;8
Ford;Mustang;NE;2019-02-13 00:00:56.125925;2843.4093232154846;200;2851;0;;;GT;38;8
Ford;Taunus;AT;2019-02-13 00:48:19.537243;121.72483944892883;11;107;0;;;Ka/Ka+;0;8
Ford;Taunus;BE;2019-02-13 00:50:21.262082;77.78069877624512;8;67;0;;;Kuga;642;8
Ford;Taunus;DE;2019-02-13 00:51:39.043722;492.20415806770325;44;464;0;;;M;31;8
Ford;Taunus;ES;2019-02-13 00:59:51.248775;49.18084788322449;4;42;0;;;Maverick;49;8
Ford;Taunus;FR;2019-02-13 01:00:40.430620;22.491065740585327;4;16;0;;;Mercury;49;8
Ford;Taunus;IT;2019-02-13 01:01:02.922629;76.27914261817932;12;71;0;;;Mondeo;1392;8
Ford;Taunus;LU;2019-02-13 01:02:19.202766;1.7984182834625244;0;0;0;;;Mustang;1361;8
